 SaleID  CustomerID  ProductID  Quantity  SaleDate   
 ------  ----------  ---------  --------  ---------- 
 1       1           1          2         2025-01-05 
 2       2           3          1         2025-01-07 
 3       3           2          3         2025-01-10 
 4       4           4          1         2025-01-12 
 5       5           5          2         2025-01-15 
 6       6           6          1         2025-01-18 
 7       7           7          4         2025-01-20 
 8       8           8          5         2025-01-22 
 9       9           9          2         2025-01-25 
 10      10          10         1         2025-01-28 
 11      1           3          1         2025-02-02 
 12      2           2          2         2025-02-05 
 13      3           1          1         2025-02-08 
 14      4           5          3         2025-02-10 
 15      5           7          2         2025-02-13 
 16      6           4          1         2025-02-16 
 17      7           6          1         2025-02-18 
 18      8           9          4         2025-02-20 
 19      9           10         1         2025-02-23 
 20      10          8          2         2025-02-25 
